Time, Name of ad, Localization, Price, Square, URL
Dzisiaj o 09:28,"Nowa cena, 1 piętro, gaz w mieszkaniu, 4285 m2!",Łódź,203 000 zł,"47,84 m² - 4243.31 zł/m²",https://www.otodom.pl/pl/oferta/nowa-cena-1-pietro-gaz-w-mieszkaniu-4285-m2-ID4nL1h.html
Dzisiaj o 09:27,"Świetne mieszkanie, tuż obok parku!","Łódź, Górna",345 000 zł,48 m² - 7187.5 zł/m²,https://www.otodom.pl/pl/oferta/swietne-mieszkanie-tuz-obok-parku-ID4tN2j.html
06 lutego 2025,"Rozkładowe M3, wieżowiec, balkon, Bałuty ul. Jana","Łódź, Bałuty",314 000 zł,47 m² - 6680.85 zł/m²,https://www.otodom.pl/pl/oferta/rozkladowe-m3-wiezowiec-balkon-baluty-ul-jana-ID4uPjG.html
Dzisiaj o 10:35,Mieszkanie W Centrum 2 Pok. Senatorska/Kilińskiego,"Łódź, Widzew",265 000 zł,"46,40 m² - 5711.21 zł/m²",https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-2-pok-senatorska-kilinskiego-ID4uJt7.html
Odświeżono Dzisiaj o 12:34,"M-3 45 m2 Mackiewicza, do remontu, ogrodzony blok- 295 tys. zł","Łódź, Bałuty",295 000 zł,45 m² - 6555.56 zł/m²,https://olx.pl/d/oferta/m-3-45-m2-mackiewicza-do-remontu-ogrodzony-blok-295-tys-zl-CID3-ID14ofGW.html
Dzisiaj o 13:17,M3 47m2 na Bałutach loggia 4m2 z pięknym widokiem,"Łódź, Bałuty",309 000 zł,"46,92 m² - 6585.68 zł/m²",https://www.otodom.pl/pl/oferta/m3-47m2-na-balutach-loggia-4m2-z-pieknym-widokiem-ID4uAZT.html
Dzisiaj o 16:47,Sprzedam mieszkanie Łódź Bałuty,"Łódź, Bałuty",269 000 złdo negocjacji,"49,32 m² - 5454.18 zł/m²",https://olx.pl/d/oferta/sprzedam-mieszkanie-lodz-baluty-CID3-ID14NECg.html
Dzisiaj o 20:06,"Żabieniec - 2 pokoje, pełen rozkład, 45m Gorzowska","Łódź, Bałuty",299 999 zł,45 m² - 6666.64 zł/m²,https://www.otodom.pl/pl/oferta/zabieniec-2-pokoje-pelen-rozklad-45m-gorzowska-ID4ozgg.html
Dzisiaj o 08:18,M3 przy Dworcu Żabieniec (do remontu),"Łódź, Bałuty",278 000 zł,"43,77 m² - 6351.38 zł/m²",https://olx.pl/d/oferta/m3-przy-dworcu-zabieniec-do-remontu-CID3-ID14O5S6.html
17 lutego 2025,1 piętro Teofilów do negocjacji!,"Łódź, Bałuty",314 000 zł,45 m² - 6977.78 zł/m²,https://www.otodom.pl/pl/oferta/1-pietro-teofilow-do-negocjacji-ID4tWsq.html
Dzisiaj o 09:51,BEZ PROWIZJI. 2 pokoje przy Podmiejskiej - GÓRNA,"Łódź, Górna",319 900 zł,43 m² - 7439.53 zł/m²,https://www.otodom.pl/pl/oferta/bez-prowizji-2-pokoje-przy-podmiejskiej-gorna-ID4wjHF.html
Dzisiaj o 10:09,"Mieszkanie do remontu 44,2 m², Teofilów, Traktorowa 80, bezpośrednio","Łódź, Bałuty",318 500 złdo negocjacji,"44,20 m² - 7205.88 zł/m²",https://olx.pl/d/oferta/mieszkanie-do-remontu-44-2-m-teofilow-traktorowa-80-bezposrednio-CID3-ID14huki.html
Dzisiaj o 09:54,Mieszkanie 49.5m Bałuty Łagiewnicka,"Łódź, Bałuty",346 000 zł,"49,50 m² - 6989.9 zł/m²",https://www.otodom.pl/pl/oferta/mieszkanie-49-5m-baluty-lagiewnicka-ID4wjHK.html
Dzisiaj o 10:33,Sprzedam 2 pok. mieszkanie z balkonem w bloku.,"Łódź, Górna",310 000 zł,"43,54 m² - 7119.89 zł/m²",https://www.otodom.pl/pl/oferta/sprzedam-2-pok-mieszkanie-z-balkonem-w-bloku-ID4wjIU.html
Dzisiaj o 14:19,Dwupokojowe mieszkanie na Dąbrowie!,"Łódź, Górna",305 000 zł,"40,39 m² - 7551.37 zł/m²",https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-na-dabrowie-ID4wgC1.html
Dzisiaj o 16:20,2 POK⭐Rozkład⭐Balkon⭐Cicha Zielona Okolica⭐Zdrowie,"Łódź, Polesie",345 000 zł,"40,13 m² - 8597.06 zł/m²",https://www.otodom.pl/pl/oferta/2-pokrozkladbalkoncicha-zielona-okolicazdrowie-ID4wjTn.html
Dzisiaj o 19:14,2-pokojowe świetny punkt blisko Politechniki!,"Łódź, Górna",300 000 zł,"43,19 m² - 6946.05 zł/m²",https://www.otodom.pl/pl/oferta/2-pokojowe-swietny-punkt-blisko-politechniki-ID4qiLQ.html
Dzisiaj o 07:34,Rozkładowe 2 pokoje na Dąbrowie,"Łódź, Górna",309 000 zł,"44,34 m² - 6968.88 zł/m²",https://www.otodom.pl/pl/oferta/rozkladowe-2-pokoje-na-dabrowie-ID4wkbi.html
06 marca 2025,"Zachodnia 10, dwa pokoje i duża kuchnia","Łódź, Śródmieście",350 000 zł,42 m² - 8333.33 zł/m²,https://olx.pl/d/oferta/zachodnia-10-dwa-pokoje-i-duza-kuchnia-CID3-ID14Ls6f.html
Dzisiaj o 09:35,Pierwsze piętro,"Łódź, Górna",323 000 zł,43 m² - 7511.63 zł/m²,https://www.otodom.pl/pl/oferta/pierwsze-pietro-ID4uJ5R.html
Dzisiaj o 10:23,M3 Na Teofilowie Do Dalszego Najmu Lub Dla Ciebie,"Łódź, Bałuty",347 000 zł,45 m² - 7711.11 zł/m²,https://www.otodom.pl/pl/oferta/m3-na-teofilowie-do-dalszego-najmu-lub-dla-ciebie-ID4wfx7.html
07 marca 2025,M3 w spokojnej okolicy,"Łódź, Bałuty",345 000 zł,"46,55 m² - 7411.39 zł/m²",https://www.otodom.pl/pl/oferta/m3-w-spokojnej-okolicy-ID4tJnn.html
Dzisiaj o 13:47,M3 Łódź Retkinia,"Łódź, Polesie",340 000 złdo negocjacji,"42,42 m² - 8015.09 zł/m²",https://olx.pl/d/oferta/m3-lodz-retkinia-CID3-ID14QlZx.html
Odświeżono Dzisiaj o 14:23,"2-pokojowe mieszkanie na Górnej, blisko Vendo Park","Łódź, Górna",288 000 zł,"44,46 m² - 6477.73 zł/m²",https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-gornej-blisko-vendo-park-ID4w2CD.html
Dzisiaj o 14:07,"Mieszkanie 52m, 2 pokoje do remontu","Łódź, Górna",254 000 złdo negocjacji,52 m² - 4884.62 zł/m²,https://olx.pl/d/oferta/mieszkanie-52m-2-pokoje-do-remontu-CID3-ID13DUFL.html
Odświeżono Dzisiaj o 14:06,2 pok blisko metra i dworca żabieniec,"Łódź, Bałuty",310 000 złdo negocjacji,"42,70 m² - 7259.95 zł/m²",https://olx.pl/d/oferta/2-pok-blisko-metra-i-dworca-zabieniec-CID3-ID14usfa.html
Odświeżono Dzisiaj o 14:23,"2-pokojowe mieszkanie na Górnej, blisko Vendo Park","Łódź, Górna",288 000 zł,"44,46 m² - 6477.73 zł/m²",https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-gornej-blisko-vendo-park-ID4w2CD.html
Dzisiaj o 15:21,Rokicie. Rozkładowe M-3 do własnej aranżacji,"Łódź, Górna",300 000 zł,40 m² - 7500 zł/m²,https://www.otodom.pl/pl/oferta/rokicie-rozkladowe-m-3-do-wlasnej-aranzacji-ID4wl4n.html
Dzisiaj o 10:23,M3 Na Teofilowie Dla Ciebie Lub Na Wynajem,"Łódź, Bałuty",347 000 zł,45 m² - 7711.11 zł/m²,https://www.otodom.pl/pl/oferta/m3-na-teofilowie-dla-ciebie-lub-na-wynajem-ID4wfx7.html
Dzisiaj o 07:31,Dwupoziomowe mieszkanie z ogródkiem i garażem,"Łódź, Widzew",348 999 zł,50 m² - 6979.98 zł/m²,https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-z-ogrodkiem-i-garazem-ID4tMLR.html
Dzisiaj o 17:56,M3 w ładnej okolicy sprzedam,"Łódź, Polesie",310 000 złdo negocjacji,"43,50 m² - 7126.44 zł/m²",https://olx.pl/d/oferta/m3-w-ladnej-okolicy-sprzedam-CID3-ID10cYyM.html
14 lutego 2025,Rozkładowe M3 z balkonem na X piętrze Widzew-Wsch.,"Łódź, Widzew",329 000 zł,"46,03 m² - 7147.51 zł/m²",https://www.otodom.pl/pl/oferta/rozkladowe-m3-z-balkonem-na-x-pietrze-widzew-wsch-ID4uXLj.html
Dzisiaj o 07:51,Niestandardowe Mieszkanie,"Łódź, Górna",349 000 zł,"75,03 m² - 4651.47 zł/m²",https://www.otodom.pl/pl/oferta/niestandardowe-mieszkanie-ID4tOlc.html
Dzisiaj o 09:07,"2 pokoje rozkładowe Bałuty, Doły 50,1 m2","Łódź, Bałuty",339 000 zł,"50,10 m² - 6766.47 zł/m²",https://www.otodom.pl/pl/oferta/2-pokoje-rozkladowe-baluty-doly-50-1-m2-ID4pEiF.html
Dzisiaj o 09:04,2 pokojowe mieszkanie/Przyborowskiego/Łódź-Górna,"Łódź, Górna",320 000 złdo negocjacji,"40,20 m² - 7960.2 zł/m²",https://olx.pl/d/oferta/2-pokojowe-mieszkanie-przyborowskiego-lodz-gorna-CID3-ID14R7rK.html
Dzisiaj o 11:13,3Pokoje⭐Balkon⭐Marysin Doły⭐Dwustronne⭐Rozkładowe,"Łódź, Bałuty",335 000 zł,"55,60 m² - 6025.18 zł/m²",https://www.otodom.pl/pl/oferta/3pokojebalkonmarysin-dolydwustronnerozkladowe-ID4sBBQ.html
Dzisiaj o 11:12,⭐Gotowa Inwestycja⭐2Pokoje⭐Śródmieście⭐,"Łódź, Śródmieście",275 000 zł,"40,10 m² - 6857.86 zł/m²",https://www.otodom.pl/pl/oferta/gotowa-inwestycja2pokojesrodmiescie-ID4tuN8.html
Dzisiaj o 11:12,2 Pokoje⭐Rozkład⭐Balkon⭐Cicha i Zielona Okolica,"Łódź, Polesie",335 000 zł,45 m² - 7444.44 zł/m²,https://www.otodom.pl/pl/oferta/2-pokojerozkladbalkoncicha-i-zielona-okolica-ID4tTJV.html
Dzisiaj o 11:12,Świetna Inwestycja⭐2Pokoje⭐️Rozkład⭐️Winda⭐Centrum,"Łódź, Śródmieście",349 000 zł,"50,32 m² - 6935.61 zł/m²",https://www.otodom.pl/pl/oferta/swietna-inwestycja2pokojerozkladwindacentrum-ID4uKHh.html
Dzisiaj o 11:28,Widne mieszkanie z balkonem i pełnym rozkładem,"Łódź, Górna",296 000 zł,"44,39 m² - 6668.17 zł/m²",https://www.otodom.pl/pl/oferta/widne-mieszkanie-z-balkonem-i-pelnym-rozkladem-ID4wlYb.html
Dzisiaj o 11:14,Świetna Lokalizacja⭐2Pokoje⭐Rozkład⭐Do odświeżenia,"Łódź, Bałuty",345 000 zł,"64,04 m² - 5387.26 zł/m²",https://www.otodom.pl/pl/oferta/swietna-lokalizacja2pokojerozkladdo-odswiezenia-ID4r5LZ.html
Dzisiaj o 11:13,2Pokoje⭐Trzystronne⭐Rozkładwe⭐Świetna Lokalizacja,"Łódź, Polesie",299 000 zł,"46,80 m² - 6388.89 zł/m²",https://www.otodom.pl/pl/oferta/2pokojetrzystronnerozkladweswietna-lokalizacja-ID4t7ZJ.html
Dzisiaj o 12:27,"M-3, 47m2, Bałuty, Osiedle Jagiełły, Pełny Rozkład","Łódź, Bałuty",295 000 zł,47 m² - 6276.6 zł/m²,https://www.otodom.pl/pl/oferta/m-3-47m2-baluty-osiedle-jagielly-pelny-rozklad-ID4wmaE.html
Dzisiaj o 12:07,"2 pokoje, taras, miejsce parkingowe","Łódź, Widzew",330 000 zł,40 m² - 8250 zł/m²,https://www.otodom.pl/pl/oferta/2-pokoje-taras-miejsce-parkingowe-ID4wfVW.html
Dzisiaj o 13:27,Dwupokojowe mieszkanie do remontu. ul. Wojska Polskiego 68a,"Łódź, Śródmieście",318 920 zł,"46,90 m² - 6800 zł/m²",https://olx.pl/d/oferta/dwupokojowe-mieszkanie-do-remontu-ul-wojska-polskiego-68a-CID3-ID14RrzU.html
Dzisiaj o 13:36,Jasne mieszkanie z pięknym widokiem!,"Łódź, Bałuty",340 000 zł,"46,55 m² - 7303.97 zł/m²",https://www.otodom.pl/pl/oferta/jasne-mieszkanie-z-pieknym-widokiem-ID4rR34.html
Dzisiaj o 16:03,Retkinia | M3 zadbane 2 pokoje | cicha okolica 0%,"Łódź, Polesie",319 800 zł,43 m² - 7437.21 zł/m²,https://www.otodom.pl/pl/oferta/retkinia-m3-zadbane-2-pokoje-cicha-okolica-0-ID4wmFm.html
Dzisiaj o 21:26,"Mieszkanie 2 pokojowe, Teofilów ul.Rojna","Łódź, Bałuty",350 000 złdo negocjacji,"45,13 m² - 7755.37 zł/m²",https://olx.pl/d/oferta/mieszkanie-2-pokojowe-teofilow-ul-rojna-CID3-ID14RYfj.html
Dzisiaj o 19:47,Komfortowe I 2 Pokoje I Astronautów,"Łódź, Górna",320 000 zł,"42,80 m² - 7476.64 zł/m²",https://www.otodom.pl/pl/oferta/komfortowe-i-2-pokoje-i-astronautow-ID4tCqR.html
Dzisiaj o 19:44,2Pokoje/Górna/Remont/Dobra Komunikacja/Balkon,"Łódź, Górna",340 000 zł,"47,38 m² - 7176.02 zł/m²",https://www.otodom.pl/pl/oferta/2pokoje-gorna-remont-dobra-komunikacja-balkon-ID4w17o.html
Dzisiaj o 07:23,"Mieszkanie 2 pokoje z kuchnią 51,44 m2, Niemcewicza 5/7","Łódź, Górna",349 000 zł,"51,44 m² - 6784.6 zł/m²",https://olx.pl/d/oferta/mieszkanie-2-pokoje-z-kuchnia-51-44-m2-niemcewicza-5-7-CID3-ID10zIdt.html
Dzisiaj o 08:22,Mieszkanie M3 2 pokoje rozkład Dąbrowa,"Łódź, Górna",329 000 złdo negocjacji,45 m² - 7311.11 zł/m²,https://olx.pl/d/oferta/mieszkanie-m3-2-pokoje-rozklad-dabrowa-CID3-ID14S5p0.html
Dzisiaj o 08:13,Parter wśród zieleni!,"Łódź, Bałuty",289 000 zł,40 m² - 7225 zł/m²,https://www.otodom.pl/pl/oferta/parter-wsrod-zieleni-ID4wlJN.html
Dzisiaj o 09:35,Rozkładowe 2-pokoje do remontu na Dąbrowie,"Łódź, Górna",294 900 zł,"41,39 m² - 7124.91 zł/m²",https://www.otodom.pl/pl/oferta/rozkladowe-2-pokoje-do-remontu-na-dabrowie-ID4wmGb.html
Dzisiaj o 11:33,Inwestycyjny hit! 3 pokoje 46m² – duże możliwości,"Łódź, Polesie",317 000 zł,46 m² - 6891.3 zł/m²,https://www.otodom.pl/pl/oferta/inwestycyjny-hit-3-pokoje-46m-duze-mozliwosci-ID4uFbb.html
Dzisiaj o 13:39,M3 Dąbrowa 1 piętro balkon,"Łódź, Górna",320 000 zł,42 m² - 7619.05 zł/m²,https://olx.pl/d/oferta/m3-dabrowa-1-pietro-balkon-CID3-ID14StQh.html
Dzisiaj o 17:05,M-3 Śródmieście 44m2 kamienica 160tys.,"Łódź, Śródmieście",160 000 zł,44 m² - 3636.36 zł/m²,https://www.otodom.pl/pl/oferta/m-3-srodmiescie-44m2-kamienica-160tys-ID4twRH.html
Dzisiaj o 16:19,M3 Bydgoska ok. Manufaktury,"Łódź, Bałuty",315 000 zł,46 m² - 6847.83 zł/m²,https://www.otodom.pl/pl/oferta/m3-bydgoska-ok-manufaktury-ID4usSj.html
Dzisiaj o 16:18,Dwupokojowe mieszkanie Śródmieście,"Łódź, Śródmieście",308 000 zł,"47,41 m² - 6496.52 zł/m²",https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-srodmiescie-ID4uw9Z.html
Odświeżono dnia 10 marca 2025,2 pok blisko metra i dworca Żabieniec,"Łódź, Bałuty",310 000 złdo negocjacji,"42,70 m² - 7259.95 zł/m²",https://olx.pl/d/oferta/2-pok-blisko-metra-i-dworca-zabieniec-CID3-ID14usfa.html
Dzisiaj o 08:04,Mieszkanie 45m 2 pokoje Teofilów,"Łódź, Bałuty",340 000 złdo negocjacji,45 m² - 7555.56 zł/m²,https://olx.pl/d/oferta/mieszkanie-45m-2-pokoje-teofilow-CID3-ID14TeLg.html
Dzisiaj o 08:37,2 pokoje Bałuty-Doły,"Łódź, Bałuty",330 000 zł,45 m² - 7333.33 zł/m²,https://www.otodom.pl/pl/oferta/2-pokoje-baluty-doly-ID4wnaU.html
Dzisiaj o 09:23,Okazja inwestycyjna - przy ul. Targowej,"Łódź, Śródmieście",229 000 zł,"42,94 m² - 5333.02 zł/m²",https://www.otodom.pl/pl/oferta/okazja-inwestycyjna-przy-ul-targowej-ID4wmIJ.html
Dzisiaj o 12:34,Sprzedam mieszkanie w Łodzi na dzielnicy Górna,"Łódź, Górna",329 000 zł,"48,94 m² - 6722.52 zł/m²",https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-w-lodzi-na-dzielnicy-gorna-ID4toL6.html
Dzisiaj o 12:52,2 pok. ścisłe centrum! Po remoncie! Media miejskie,"Łódź, Polesie",334 900 zł,42 m² - 7973.81 zł/m²,https://www.otodom.pl/pl/oferta/2-pok-scisle-centrum-po-remoncie-media-miejskie-ID4wp1E.html
Dzisiaj o 12:45,"M3 z widokiem na panoramę, Karolew","Łódź, Polesie",329 000 zł,44 m² - 7477.27 zł/m²,https://www.otodom.pl/pl/oferta/m3-z-widokiem-na-panorame-karolew-ID4wp1p.html
Dzisiaj o 12:45,"M3 z widokiem na panoramę, Karolew","Łódź, Polesie",329 000 zł,44 m² - 7477.27 zł/m²,https://www.otodom.pl/pl/oferta/m3-z-widokiem-na-panorame-karolew-ID4wp1p.html
Dzisiaj o 16:29,M-3 (45) Łanowa - 4 piętro,"Łódź, Bałuty",320 000 zł,45 m² - 7111.11 zł/m²,https://www.otodom.pl/pl/oferta/m-3-45-lanowa-4-pietro-ID4wpoQ.html
12 marca 2025,"Sprzedam 2-pokojowe mieszkanie 44,7 m², ul. Podhalańska","Łódź, Górna",329 000 złdo negocjacji,45 m² - 7311.11 zł/m²,https://olx.pl/d/oferta/sprzedam-2-pokojowe-mieszkanie-44-7-m-ul-podhalanska-CID3-ID14S5p0.html
Dzisiaj o 08:11,"M- 45 mkw, 1 piętro, balkon, rozkładowe, od zaraz","Łódź, Bałuty",305 000 zł,45 m² - 6777.78 zł/m²,https://www.otodom.pl/pl/oferta/m-45-mkw-1-pietro-balkon-rozkladowe-od-zaraz-ID4utnh.html
Dzisiaj o 08:11,"M- 45 mkw, 1 piętro, balkon, rozkładowe, od zaraz","Łódź, Bałuty",305 000 zł,45 m² - 6777.78 zł/m²,https://www.otodom.pl/pl/oferta/m-45-mkw-1-pietro-balkon-rozkladowe-od-zaraz-ID4utnh.html
