Time, Name of ad, Localization, Price, Square, URL
26 lutego 2025,"Na sprzedaż, słoneczne 2 pokojowe mieszkanie.","Łódź, Bałuty",339 000 zł,"41,22 m² - 8224.16 zł/m²",https://www.otodom.pl/pl/oferta/na-sprzedaz-sloneczne-2-pokojowe-mieszkanie-ID4w8tz.html
Odświeżono dnia 26 lutego 2025,"Mieszkanie w ścisłym centrum Jaracza 15, 2 pokoje","Łódź, Śródmieście",299 000 zł,"48,90 m² - 6114.52 zł/m²",https://www.otodom.pl/pl/oferta/mieszkanie-w-scislym-centrum-jaracza-15-2-pokoje-ID4txTR.html
Odświeżono dnia 26 lutego 2025,"Sprzedam M-2, ul. Mj. H. Sucharskiego - KW","Łódź, Bałuty",335 000 zł,42 m² - 7976.19 zł/m²,https://www.otodom.pl/pl/oferta/sprzedam-m-2-ul-mj-h-sucharskiego-kw-ID4u7Bz.html
Odświeżono Dzisiaj o 08:15,M3 Stary Widzew ul . Gołębia,"Łódź, Widzew",284 000 zł,42 m² - 6761.9 zł/m²,https://olx.pl/d/oferta/m3-stary-widzew-ul-golebia-CID3-ID13k4B9.html
Odświeżono dnia 26 lutego 2025,Pabianicka. Trzy rozkładowe pokoje. Do remontu.,"Łódź, Górna",309 000 zł,45 m² - 6866.67 zł/m²,https://olx.pl/d/oferta/pabianicka-trzy-rozkladowe-pokoje-do-remontu-CID3-ID14cvV1.html
26 lutego 2025,"Mieszkanie w centrum,Berlińskiego,odnowiony blok!!","Łódź, Bałuty",249 000 zł,42 m² - 5928.57 zł/m²,https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-berlinskiego-odnowiony-blok-ID4w8p0.html
Odświeżono dnia 25 lutego 2025,"M3 - 48 m2 - Łódź Widzew Zarzew - prywatnie, jasne, loggia, komórka","Łódź, Widzew",303 000 zł,48 m² - 6312.5 zł/m²,https://olx.pl/d/oferta/m3-48-m2-lodz-widzew-zarzew-prywatnie-jasne-loggia-komorka-CID3-ID12WumF.html
25 lutego 2025,"Łódź Dąbrowa, super lokalizacja, pierwsze piętro, 40 m2, pełen rozkład","Łódź, Górna",337 000 zł,"40,03 m² - 8418.69 zł/m²",https://olx.pl/d/oferta/lodz-dabrowa-super-lokalizacja-pierwsze-pietro-40-m2-pelen-rozklad-CID3-ID14DYKR.html
25 lutego 2025,Mieszkanie Zaolziańska 3-pok. 54m2 / Ustawne / Do Remontu,"Łódź, Górna",340 000 złdo negocjacji,54 m² - 6296.3 zł/m²,https://olx.pl/d/oferta/mieszkanie-zaolzianska-3-pok-54m2-ustawne-do-remontu-CID3-ID14DVqS.html
25 lutego 2025,Mieszkanie Janów TBS  51 m2,"Łódź, Widzew",290 000 złdo negocjacji,"51,08 m² - 5677.37 zł/m²",https://olx.pl/d/oferta/mieszkanie-janow-tbs-51-m2-CID3-ID14DOMR.html
25 lutego 2025,"Mieszkanie na Stokach 45,4 m2","Łódź, Widzew",299 000 złdo negocjacji,"45,40 m² - 6585.9 zł/m²",https://olx.pl/d/oferta/mieszkanie-na-stokach-45-4-m2-CID3-ID148EGY.html
25 lutego 2025,Pierwsze piętro z balkonem,"Łódź, Bałuty",338 000 zł,"45,10 m² - 7494.46 zł/m²",https://www.otodom.pl/pl/oferta/pierwsze-pietro-z-balkonem-ID4uYCR.html
25 lutego 2025,M 4 Doły ul. Przemysłowa,"Łódź, Bałuty",300 000 zł,46 m² - 6521.74 zł/m²,https://olx.pl/d/oferta/m-4-doly-ul-przemyslowa-CID3-IDYEHfQ.html
Odświeżono dnia 25 lutego 2025,Sprzedam Mieszkanie-Nie Pieska,"Łódź, Bałuty",305 000 zł,45 m² - 6777.78 zł/m²,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-nie-pieska-ID4w4UW.html
24 lutego 2025,Na sprzedaż: 2-pokojowe mieszkanie z balkonem,"Łódź, Górna",336 000 zł,"40,72 m² - 8251.47 zł/m²",https://www.otodom.pl/pl/oferta/na-sprzedaz-2-pokojowe-mieszkanie-z-balkonem-ID4w77g.html
24 lutego 2025,"Mieszkanie, Łódź","Łódź, Polesie",335 000 zł,48 m² - 6979.17 zł/m²,https://www.otodom.pl/pl/oferta/-ID4t7sn.html
